pdb	ch	ipr
2jj2	K	IPR027417
2jj2	L	IPR027417
2jj2	M	IPR027417
2jj8	A	IPR027417
2jj8	B	IPR027417
2jj8	C	IPR027417
2jj8	D	IPR027417
2jj9	A	IPR027417
2jlq	A	IPR027417
2jlr	A	IPR027417
2jls	A	IPR027417
2jlu	A	IPR027417
2jlu	B	IPR027417
2jlv	A	IPR027417
2jlv	B	IPR027417
2jlw	A	IPR027417
2jlw	B	IPR027417
2jlx	A	IPR027417
2jlx	B	IPR027417
2jly	A	IPR027417
2jly	B	IPR027417
2jlz	A	IPR027417
2jlz	B	IPR027417
2k5u	A	IPR027417
2kb0	A	IPR027417
2kbe	A	IPR027417
2kbf	A	IPR027417
2ke5	A	IPR027417
2ki5	A	IPR027417
2ki5	B	IPR027417
2kin	A	IPR027417
2kin	B	IPR027417
2kjq	A	IPR027417
2krk	A	IPR027417
2ksq	A	IPR027417
2kwi	A	IPR027417
2l0x	A	IPR027417
2lcf	A	IPR027417
2lkc	A	IPR027417
2lkd	A	IPR027417
2lwi	A	IPR027417
2mmc	A	IPR027417
2mmg	A	IPR027417
2msc	B	IPR027417
2msd	B	IPR027417
2mse	B	IPR027417
2mys	A	IPR027417
2n1b	A	IPR027417
2n42	A	IPR027417
2n46	A	IPR027417
2ncd	A	IPR027417
2ng1	A	IPR027417
2ngr	A	IPR027417
2nip	A	IPR027417
2nip	B	IPR027417
2nmv	A	IPR027417
2no0	A	IPR027417
2no0	B	IPR027417
2no1	A	IPR027417
2no1	B	IPR027417
2no6	A	IPR027417
2no6	B	IPR027417
2no7	A	IPR027417
2no7	B	IPR027417
2no9	A	IPR027417
2no9	B	IPR027417
2noa	A	IPR027417
2noa	B	IPR027417
2npf	A	IPR027417
2npf	B	IPR027417
2npi	A	IPR027417
2npi	B	IPR027417
2nq2	C	IPR027417
2nq2	D	IPR027417
2nty	C	IPR027417
2nty	D	IPR027417
2nz8	A	IPR027417
2nzj	A	IPR027417
2nzj	B	IPR027417
2nzj	C	IPR027417
2nzj	D	IPR027417
2o0f	A	IPR027417
2o52	A	IPR027417
2o52	B	IPR027417
2o5v	A	IPR027417
2o8b	A	IPR027417
2o8b	B	IPR027417
2o8c	A	IPR027417
2o8c	B	IPR027417
2o8d	A	IPR027417
2o8d	B	IPR027417
2o8e	A	IPR027417
2o8e	B	IPR027417
2o8f	A	IPR027417
2o8f	B	IPR027417
2oap	1	IPR027417
2oap	2	IPR027417
2oaq	1	IPR027417
2oaq	2	IPR027417
2obl	A	IPR027417
2obm	A	IPR027417
2obn	A	IPR027417
2obn	B	IPR027417
2obn	C	IPR027417
2obn	D	IPR027417
2oca	A	IPR027417
2ocb	A	IPR027417
2ocp	A	IPR027417
2ocp	B	IPR027417
2ocp	C	IPR027417
2ocp	D	IPR027417
2ocp	E	IPR027417
2ocp	F	IPR027417
2ocp	G	IPR027417
2ocp	H	IPR027417
2ocy	C	IPR027417
2odb	A	IPR027417
2ode	A	IPR027417
2ode	C	IPR027417
2odn	A	IPR027417
2odw	A	IPR027417
2oe2	A	IPR027417
2oep	A	IPR027417
2oes	A	IPR027417
2ofo	A	IPR027417
2ofw	A	IPR027417
2ofw	B	IPR027417
2ofw	C	IPR027417
2ofw	D	IPR027417
2ofw	E	IPR027417
2ofw	F	IPR027417
2ofw	G	IPR027417
2ofw	H	IPR027417
2ofx	A	IPR027417
2ofx	B	IPR027417
2og2	A	IPR027417
2ohf	A	IPR027417
2oil	A	IPR027417
2olj	A	IPR027417
2olj	B	IPR027417
2olk	A	IPR027417
2olk	B	IPR027417
2olk	C	IPR027417
2olk	D	IPR027417
2om2	A	IPR027417
2om2	C	IPR027417
2om7	L	IPR027417
2onj	A	IPR027417
2onj	B	IPR027417
2onk	A	IPR027417
2onk	B	IPR027417
2onk	F	IPR027417
2onk	G	IPR027417
2oo7	A	IPR027417
2oo7	B	IPR027417
2ori	A	IPR027417
2ori	B	IPR027417
2orv	A	IPR027417
2orv	B	IPR027417
2orw	A	IPR027417
2orw	B	IPR027417
2os8	A	IPR027417
2osb	A	IPR027417
2osb	B	IPR027417
2ot3	B	IPR027417
2otg	A	IPR027417
2ouk	A	IPR027417
2ouk	B	IPR027417
2ouk	C	IPR027417
2ouk	D	IPR027417
2ov2	A	IPR027417
2ov2	B	IPR027417
2ov2	C	IPR027417
2ov2	D	IPR027417
2ov2	E	IPR027417
2ov2	F	IPR027417
2ov2	G	IPR027417
2ov2	H	IPR027417
2ov8	A	IPR027417
2ovb	A	IPR027417
2ovf	A	IPR027417
2owm	A	IPR027417
2owm	B	IPR027417
2owm	C	IPR027417
2owm	D	IPR027417
2oxc	A	IPR027417
2oxc	B	IPR027417
2oxr	A	IPR027417
2oze	A	IPR027417
2p0e	A	IPR027417
2p2l	A	IPR027417
2p2l	B	IPR027417
2p2l	C	IPR027417
2p3s	A	IPR027417
2p4n	K	IPR027417
2p5s	A	IPR027417
2p5s	B	IPR027417
2p5t	B	IPR027417
2p5t	D	IPR027417
2p5t	F	IPR027417
2p5t	H	IPR027417
2p65	A	IPR027417
2p67	A	IPR027417
2p6n	A	IPR027417
2p6n	B	IPR027417
2p6r	A	IPR027417
2p6u	A	IPR027417
2p8w	T	IPR027417
2p8x	T	IPR027417
2p8y	T	IPR027417
2p8z	T	IPR027417
2pbr	A	IPR027417
2pbr	B	IPR027417
2pcj	A	IPR027417
2pcj	B	IPR027417
2pcl	A	IPR027417
2pey	A	IPR027417
2pey	B	IPR027417
2pez	A	IPR027417
2pez	B	IPR027417
2pg2	A	IPR027417
2pg2	B	IPR027417
2ph1	A	IPR027417
2pjr	A	IPR027417
2pjr	B	IPR027417
2pjr	F	IPR027417
2pjr	G	IPR027417
2pjz	A	IPR027417
2pl3	A	IPR027417
2plf	A	IPR027417
2plr	A	IPR027417
2plr	B	IPR027417
2pmd	A	IPR027417
2pmd	B	IPR027417
2pmk	A	IPR027417
2pt5	A	IPR027417
2pt5	B	IPR027417
2pt5	C	IPR027417
2pt5	D	IPR027417
2pt7	A	IPR027417
2pt7	B	IPR027417
2pt7	C	IPR027417
2pt7	D	IPR027417
2pt7	E	IPR027417
2pt7	F	IPR027417
2px0	A	IPR027417
2px0	B	IPR027417
2px0	C	IPR027417
2px0	D	IPR027417
2px0	E	IPR027417
2px0	F	IPR027417
2px0	G	IPR027417
2px0	H	IPR027417
2px3	A	IPR027417
2pze	A	IPR027417
2pze	B	IPR027417
2pzf	A	IPR027417
2pzf	B	IPR027417
2pzg	A	IPR027417
2pzg	B	IPR027417
2q0h	A	IPR027417
2q0h	B	IPR027417
2q21	A	IPR027417
2q2y	A	IPR027417
2q2y	B	IPR027417
2q2z	A	IPR027417
2q2z	B	IPR027417
2q3f	A	IPR027417
2q3f	B	IPR027417
2q3h	A	IPR027417
2q3m	A	IPR027417
2q6t	A	IPR027417
2q6t	B	IPR027417
2q6t	C	IPR027417
2q6t	D	IPR027417
2q9a	A	IPR027417
2q9a	B	IPR027417
2q9b	A	IPR027417
2q9b	B	IPR027417
2q9c	A	IPR027417
2q9c	B	IPR027417
2qa5	A	IPR027417
2qa5	B	IPR027417
2qag	A	IPR027417
2qag	B	IPR027417
2qag	C	IPR027417
2qaj	A	IPR027417
2qaj	B	IPR027417
2qby	A	IPR027417
2qby	B	IPR027417
2qe7	A	IPR027417
2qe7	B	IPR027417
2qe7	C	IPR027417
2qe7	D	IPR027417
2qe7	E	IPR027417
2qe7	F	IPR027417
2qen	A	IPR027417
2qeq	A	IPR027417
2qeq	B	IPR027417
2qg6	A	IPR027417
2qgn	A	IPR027417
2qgz	A	IPR027417
2qi9	C	IPR027417
2qi9	D	IPR027417
2ql6	A	IPR027417
2ql6	B	IPR027417
2ql6	C	IPR027417
2ql6	D	IPR027417
2ql6	E	IPR027417
2ql6	F	IPR027417
2ql6	G	IPR027417
2ql6	H	IPR027417
2ql6	I	IPR027417
2ql6	J	IPR027417
2ql6	K	IPR027417
2ql6	L	IPR027417
2ql6	M	IPR027417
2ql6	N	IPR027417
2ql6	O	IPR027417
2ql6	P	IPR027417
2qm7	A	IPR027417
2qm7	B	IPR027417
2qm8	A	IPR027417
2qm8	B	IPR027417
2qme	A	IPR027417
2qmo	A	IPR027417
2qmu	A	IPR027417
2qn6	A	IPR027417
2qnr	A	IPR027417
2qnr	B	IPR027417
2qor	A	IPR027417
2qp3	A	IPR027417
2qp4	A	IPR027417
2qp9	X	IPR027417
2qpa	A	IPR027417
2qpa	B	IPR027417
2qpa	C	IPR027417
2qpo	A	IPR027417
2qpo	B	IPR027417
2qpo	C	IPR027417
2qpo	D	IPR027417
2qpt	A	IPR027417
2qq0	A	IPR027417
2qq0	B	IPR027417
2qqe	A	IPR027417
2qqe	B	IPR027417
2qrn	A	IPR027417
2qrn	B	IPR027417
2qrn	C	IPR027417
2qrn	D	IPR027417
2qro	A	IPR027417
2qro	B	IPR027417
2qro	C	IPR027417
2qro	D	IPR027417
2qrz	A	IPR027417
2qrz	B	IPR027417
2qsy	A	IPR027417
2qsz	A	IPR027417
2qt0	A	IPR027417
2qt1	A	IPR027417
2qtf	A	IPR027417
2qth	A	IPR027417
2qtv	B	IPR027417
2qu8	A	IPR027417
2quz	A	IPR027417
2qy9	A	IPR027417
2qz4	A	IPR027417
2r2a	A	IPR027417
2r2a	B	IPR027417
2r44	A	IPR027417
2r62	A	IPR027417
2r62	B	IPR027417
2r65	A	IPR027417
2r65	B	IPR027417
2r65	C	IPR027417
2r65	D	IPR027417
2r65	E	IPR027417
2r6a	A	IPR027417
2r6a	B	IPR027417
2r6c	A	IPR027417
2r6c	B	IPR027417
2r6c	C	IPR027417
2r6c	D	IPR027417
2r6c	E	IPR027417
2r6c	F	IPR027417
2r6d	A	IPR027417
2r6d	B	IPR027417
2r6d	C	IPR027417
2r6d	D	IPR027417
2r6d	E	IPR027417
2r6d	F	IPR027417
2r6e	A	IPR027417
2r6e	B	IPR027417
2r6f	A	IPR027417
2r6f	B	IPR027417
2r6g	A	IPR027417
2r6g	B	IPR027417
2r8r	A	IPR027417
2r8r	B	IPR027417
2r9v	A	IPR027417
2rap	A	IPR027417
2rb4	A	IPR027417
2rb4	B	IPR027417
2rcn	A	IPR027417
2rdo	7	IPR027417
2reb	A	IPR027417
2rec	A	IPR027417
2rec	B	IPR027417
2rec	C	IPR027417
2rec	D	IPR027417
2rec	E	IPR027417
2rec	F	IPR027417
2reo	A	IPR027417
2rex	B	IPR027417
2rex	D	IPR027417
2rga	A	IPR027417
2rgb	A	IPR027417
2rgc	A	IPR027417
2rgd	A	IPR027417
2rge	A	IPR027417
2rgg	A	IPR027417
2rgn	A	IPR027417
2rgn	C	IPR027417
2rgn	D	IPR027417
2rgn	F	IPR027417
2rgx	A	IPR027417
2rh5	A	IPR027417
2rh5	B	IPR027417
2rh5	C	IPR027417
2rhd	A	IPR027417
2rhm	A	IPR027417
2rhm	B	IPR027417
2rhm	C	IPR027417
2rhm	D	IPR027417
2rko	A	IPR027417
2rkw	A	IPR027417
2rkw	B	IPR027417
2rmk	A	IPR027417
2shk	A	IPR027417
2shk	B	IPR027417
2tmk	A	IPR027417
2tmk	B	IPR027417
2ukd	A	IPR027417
2uvq	A	IPR027417
2uyi	A	IPR027417
2uyi	B	IPR027417
2uym	A	IPR027417
2uym	B	IPR027417
2uz3	A	IPR027417
2uz3	B	IPR027417
2uz3	C	IPR027417
2uz3	D	IPR027417
2uzi	R	IPR027417
2v1u	A	IPR027417
2v1x	A	IPR027417
2v1x	B	IPR027417
2v26	A	IPR027417
2v3c	C	IPR027417
2v3c	D	IPR027417
2v40	A	IPR027417
2v4z	A	IPR027417
2v54	A	IPR027417
2v54	B	IPR027417
2v55	B	IPR027417
2v55	D	IPR027417
2v6i	A	IPR027417
2v6j	A	IPR027417
2v7q	A	IPR027417
2v7q	B	IPR027417
2v7q	C	IPR027417
2v7q	D	IPR027417
2v7q	E	IPR027417
2v7q	F	IPR027417
2v8o	A	IPR027417
2v9p	A	IPR027417
2v9p	B	IPR027417
2v9p	C	IPR027417
2v9p	D	IPR027417
2v9p	E	IPR027417
2v9p	F	IPR027417
2v9p	G	IPR027417
2v9p	H	IPR027417
2v9p	I	IPR027417
2v9p	J	IPR027417
2v9p	K	IPR027417
2v9p	L	IPR027417
2va8	A	IPR027417
2va8	B	IPR027417
2vas	A	IPR027417
2vb6	A	IPR027417
2vbc	A	IPR027417
2vda	A	IPR027417
2ved	A	IPR027417
2ved	B	IPR027417
2vf7	A	IPR027417
2vf7	B	IPR027417
2vf7	C	IPR027417
2vf8	A	IPR027417
2vf8	B	IPR027417
2vh5	R	IPR027417
2vhc	A	IPR027417
2vhc	B	IPR027417
2vhc	C	IPR027417
2vhj	A	IPR027417
2vhj	B	IPR027417
2vhj	C	IPR027417
2vhq	A	IPR027417
2vhq	B	IPR027417
2vhq	C	IPR027417
2vht	A	IPR027417
2vht	B	IPR027417
2vht	C	IPR027417
2vhu	A	IPR027417
2vhu	B	IPR027417
2vhu	C	IPR027417
2vii	A	IPR027417
2vl7	A	IPR027417
2vli	A	IPR027417
2vli	B	IPR027417
2vo1	A	IPR027417
2vo1	B	IPR027417
2vp0	A	IPR027417
2vp0	B	IPR027417
2vp2	A	IPR027417
2vp2	B	IPR027417
2vp4	A	IPR027417
2vp4	B	IPR027417
2vp4	C	IPR027417
2vp4	D	IPR027417
2vp5	A	IPR027417
2vp5	B	IPR027417
2vp6	A	IPR027417
2vp6	B	IPR027417
2vp6	C	IPR027417
2vp6	D	IPR027417
2vp6	E	IPR027417
2vp6	F	IPR027417
2vp6	G	IPR027417
2vp6	H	IPR027417
2vp9	A	IPR027417
2vp9	B	IPR027417
2vp9	C	IPR027417
2vp9	D	IPR027417
2vp9	E	IPR027417
2vp9	F	IPR027417
2vp9	G	IPR027417
2vp9	H	IPR027417
2vpp	A	IPR027417
2vpp	B	IPR027417
2vqs	A	IPR027417
2vqs	B	IPR027417
2vqs	C	IPR027417
2vqs	D	IPR027417
2vrw	A	IPR027417
2vsf	A	IPR027417
2vso	A	IPR027417
2vso	B	IPR027417
2vsx	A	IPR027417
2vsx	B	IPR027417
2vtk	A	IPR027417
2vvg	A	IPR027417
2vvg	B	IPR027417
2vye	A	IPR027417
2vye	B	IPR027417
2vyf	A	IPR027417
2vyf	B	IPR027417
2w00	A	IPR027417
2w00	B	IPR027417
2w0m	A	IPR027417
2w0s	A	IPR027417
2w0s	B	IPR027417
2w2t	A	IPR027417
2w2v	A	IPR027417
2w2v	B	IPR027417
2w2v	C	IPR027417
2w2v	D	IPR027417
2w2x	A	IPR027417
2w2x	B	IPR027417
2w4a	M	IPR027417
2w4g	M	IPR027417
2w4h	M	IPR027417
2w4t	C	IPR027417
2w4v	C	IPR027417
2w4w	C	IPR027417
2w58	A	IPR027417
2w58	B	IPR027417
2w6d	A	IPR027417
2w6d	B	IPR027417
2w6e	A	IPR027417
2w6e	B	IPR027417
2w6e	C	IPR027417
2w6e	D	IPR027417
2w6e	E	IPR027417
2w6e	F	IPR027417
2w6f	A	IPR027417
2w6f	B	IPR027417
2w6f	C	IPR027417
2w6f	D	IPR027417
2w6f	E	IPR027417
2w6f	F	IPR027417
2w6g	A	IPR027417
2w6g	B	IPR027417
2w6g	C	IPR027417
2w6g	D	IPR027417
2w6g	E	IPR027417
2w6g	F	IPR027417
2w6h	A	IPR027417
2w6h	B	IPR027417
2w6h	C	IPR027417
2w6h	D	IPR027417
2w6h	E	IPR027417
2w6h	F	IPR027417
2w6i	A	IPR027417
2w6i	B	IPR027417
2w6i	C	IPR027417
2w6i	D	IPR027417
2w6i	E	IPR027417
2w6i	F	IPR027417
2w6j	A	IPR027417
2w6j	B	IPR027417
2w6j	C	IPR027417
2w6j	D	IPR027417
2w6j	E	IPR027417
2w6j	F	IPR027417
2w83	A	IPR027417
2w83	B	IPR027417
2w83	E	IPR027417
2wax	A	IPR027417
2wax	C	IPR027417
2way	A	IPR027417
2way	C	IPR027417
2wbe	C	IPR027417
2wbl	C	IPR027417
2wbl	D	IPR027417
2whx	A	IPR027417
2wia	A	IPR027417
2wia	B	IPR027417
2wib	A	IPR027417
2wib	B	IPR027417
2wic	A	IPR027417
2wjg	A	IPR027417
2wjg	B	IPR027417
2wjh	A	IPR027417
2wjh	B	IPR027417
2wji	A	IPR027417
2wji	B	IPR027417
2wjj	A	IPR027417
2wjj	B	IPR027417
2wjv	A	IPR027417
2wjv	B	IPR027417
2wjy	A	IPR027417
2wkp	A	IPR027417
2wkq	A	IPR027417
2wkr	A	IPR027417
2wm9	B	IPR027417
2wmn	B	IPR027417
2wmo	B	IPR027417
2wog	A	IPR027417
2wog	B	IPR027417
2wog	C	IPR027417
2woj	A	IPR027417
2woj	B	IPR027417
2woj	C	IPR027417
2woj	D	IPR027417
2woo	A	IPR027417
2woo	B	IPR027417
2woo	C	IPR027417
2woo	D	IPR027417
2woo	E	IPR027417
2woo	F	IPR027417
2wpd	A	IPR027417
2wpd	B	IPR027417
2wpd	C	IPR027417
2wpd	D	IPR027417
2wpd	E	IPR027417
2wpd	F	IPR027417
2wsm	A	IPR027417
2wsm	B	IPR027417
2wss	A	IPR027417
2wss	B	IPR027417
2wss	C	IPR027417
2wss	D	IPR027417
2wss	E	IPR027417
2wss	F	IPR027417
2wss	J	IPR027417
2wss	K	IPR027417
2wss	L	IPR027417
2wss	M	IPR027417
2wss	N	IPR027417
2wss	O	IPR027417
2wtu	A	IPR027417
2wtu	B	IPR027417
2wv9	A	IPR027417
2wvj	A	IPR027417
2wvj	B	IPR027417
2wvj	C	IPR027417
2wvj	D	IPR027417
2wvj	E	IPR027417
2wvj	F	IPR027417
2wvj	G	IPR027417
2wvj	H	IPR027417
2wwf	A	IPR027417
2wwf	B	IPR027417
2wwf	C	IPR027417
2wwg	A	IPR027417
2wwg	B	IPR027417
2wwg	C	IPR027417
2wwh	A	IPR027417
2wwh	B	IPR027417
2wwh	C	IPR027417
2wwi	A	IPR027417
2wwi	B	IPR027417
2wwi	C	IPR027417
2www	A	IPR027417
2www	B	IPR027417
2www	C	IPR027417
2www	D	IPR027417
2wwx	A	IPR027417
2wwy	A	IPR027417
2wwy	B	IPR027417
2wzq	A	IPR027417
2x19	A	IPR027417
2x1v	A	IPR027417
2x2e	A	IPR027417
2x2e	D	IPR027417
2x2f	A	IPR027417
2x2f	D	IPR027417
2x2r	A	IPR027417
2x2r	B	IPR027417
2x2r	C	IPR027417
2x31	G	IPR027417
2x31	H	IPR027417
2x31	I	IPR027417
2x31	J	IPR027417
2x31	K	IPR027417
2x31	L	IPR027417
2x51	A	IPR027417
2x77	A	IPR027417
2x77	B	IPR027417
2x7c	A	IPR027417
2x7c	B	IPR027417
2x7d	A	IPR027417
2x7d	B	IPR027417
2x7e	A	IPR027417
2x7e	B	IPR027417
2x8a	A	IPR027417
2x9h	A	IPR027417
2xae	A	IPR027417
2xae	B	IPR027417
2xae	C	IPR027417
2xau	A	IPR027417
2xau	B	IPR027417
2xb2	A	IPR027417
2xb2	X	IPR027417
2xb4	A	IPR027417
2xel	A	IPR027417
2xex	A	IPR027417
2xex	B	IPR027417
2xgj	A	IPR027417
2xgj	B	IPR027417
2xit	A	IPR027417
2xit	B	IPR027417
2xj4	A	IPR027417
2xj9	A	IPR027417
2xj9	B	IPR027417
2xkv	A	IPR027417
2xkv	D	IPR027417
2xkx	A	IPR027417
2xkx	B	IPR027417
2xnd	A	IPR027417
2xnd	B	IPR027417
2xnd	C	IPR027417
2xnd	D	IPR027417
2xnd	E	IPR027417
2xnd	F	IPR027417
2xns	A	IPR027417
2xns	B	IPR027417
2xo8	A	IPR027417
2xok	A	IPR027417
2xok	B	IPR027417
2xok	C	IPR027417
2xok	D	IPR027417
2xok	E	IPR027417
2xok	F	IPR027417
2xsz	A	IPR027417
2xsz	B	IPR027417
2xsz	C	IPR027417
2xsz	D	IPR027417
2xsz	E	IPR027417
2xsz	F	IPR027417
2xt3	A	IPR027417
2xtm	A	IPR027417
2xtm	B	IPR027417
2xtn	A	IPR027417
2xto	A	IPR027417
2xto	B	IPR027417
2xtp	A	IPR027417
2xtz	A	IPR027417
2xtz	B	IPR027417
2xtz	C	IPR027417
2xx3	A	IPR027417
2xxa	A	IPR027417
2xxa	B	IPR027417
2xxa	C	IPR027417
2xxa	D	IPR027417
2xzl	A	IPR027417
2xzo	A	IPR027417
2xzp	A	IPR027417
2y0r	X	IPR027417
2y5w	A	IPR027417
2y5w	B	IPR027417
2y65	A	IPR027417
2y65	B	IPR027417
2y65	C	IPR027417
2y65	D	IPR027417
2y8e	A	IPR027417
2y8e	B	IPR027417
2y8i	X	IPR027417
2y9e	X	IPR027417
2yc2	C	IPR027417
2yc2	D	IPR027417
2yc4	C	IPR027417
2yc4	D	IPR027417
2yhs	A	IPR027417
2yin	C	IPR027417
2yin	D	IPR027417
2yjt	D	IPR027417
2ykg	A	IPR027417
2ykr	W	IPR027417
2ynm	A	IPR027417
2ynm	B	IPR027417
2yof	A	IPR027417
2yof	B	IPR027417
2yof	C	IPR027417
2yog	A	IPR027417
2yog	B	IPR027417
2yoh	A	IPR027417
2yoh	B	IPR027417
2yv5	A	IPR027417
2yvu	A	IPR027417
2yvu	B	IPR027417
2ywe	A	IPR027417
2ywf	A	IPR027417
2ywg	A	IPR027417
2ywh	A	IPR027417
2yyz	A	IPR027417
2yz2	A	IPR027417
2yz2	B	IPR027417
2z0m	A	IPR027417
2z43	A	IPR027417
2z43	B	IPR027417
2z43	C	IPR027417
2z4r	A	IPR027417
2z4r	B	IPR027417
2z4r	C	IPR027417
2z4s	A	IPR027417
2z5f	A	IPR027417
2z5f	B	IPR027417
2z6v	A	IPR027417
2z83	A	IPR027417
2zam	A	IPR027417
2zan	A	IPR027417
2zao	A	IPR027417
2ze5	A	IPR027417
2ze6	A	IPR027417
2ze7	A	IPR027417
2ze8	A	IPR027417
2ze8	B	IPR027417
2ze8	C	IPR027417
2ze8	D	IPR027417
2zej	A	IPR027417
2zej	B	IPR027417
2zet	A	IPR027417
2zet	B	IPR027417
2zfi	A	IPR027417
2zfj	A	IPR027417
2zfk	A	IPR027417
2zfl	A	IPR027417
2zfm	A	IPR027417
2zi3	A	IPR027417
2zi3	B	IPR027417
2zi4	A	IPR027417
2zi5	A	IPR027417
2zi5	B	IPR027417
2zi5	C	IPR027417
2zi5	D	IPR027417
2zi6	A	IPR027417
2zi6	B	IPR027417
2zi6	C	IPR027417
2zi6	D	IPR027417
2zi7	A	IPR027417
2zi7	B	IPR027417
2zi9	A	IPR027417
2zi9	B	IPR027417
2zia	A	IPR027417
2zia	B	IPR027417
2zit	A	IPR027417
2zit	C	IPR027417
2zit	E	IPR027417
2zj2	A	IPR027417
2zj5	A	IPR027417
2zj8	A	IPR027417
2zja	A	IPR027417
2zjb	A	IPR027417
2zjb	B	IPR027417
2zjo	A	IPR027417
2zjy	A	IPR027417
2zjz	A	IPR027417
2zjz	B	IPR027417
2zm5	A	IPR027417
2zm5	B	IPR027417
2zpa	A	IPR027417
2zpa	B	IPR027417
2zpt	X	IPR027417
2zq5	A	IPR027417
2zr0	A	IPR027417
2zr7	A	IPR027417
2zr9	A	IPR027417
2zra	A	IPR027417
2zrb	A	IPR027417
2zrc	A	IPR027417
2zrd	A	IPR027417
2zre	A	IPR027417
2zrf	A	IPR027417
2zrg	A	IPR027417
2zrh	A	IPR027417
2zri	A	IPR027417
2zrj	A	IPR027417
2zrk	A	IPR027417
2zrl	A	IPR027417
2zrm	A	IPR027417
2zrn	A	IPR027417
2zro	A	IPR027417
2zrp	A	IPR027417
2zs7	A	IPR027417
2zs8	A	IPR027417
2zs9	A	IPR027417
2zsa	A	IPR027417
2zsb	A	IPR027417
2zsd	A	IPR027417
2zse	A	IPR027417
2zsf	A	IPR027417
2zts	A	IPR027417
2zts	B	IPR027417
2zts	C	IPR027417
2zu0	C	IPR027417
2zu0	D	IPR027417
2zu6	A	IPR027417
2zu6	C	IPR027417
2zu6	D	IPR027417
2zu6	F	IPR027417
2zub	A	IPR027417
2zub	B	IPR027417
2zuc	A	IPR027417
2zuc	B	IPR027417
2zud	A	IPR027417
2zud	B	IPR027417
2zvp	X	IPR027417
2zvq	X	IPR027417
2zxu	A	IPR027417
2zxu	B	IPR027417
2zyt	X	IPR027417
2zyu	X	IPR027417
2zyv	X	IPR027417
2zyw	X	IPR027417
3a1s	A	IPR027417
3a1s	B	IPR027417
3a1t	A	IPR027417
3a1u	A	IPR027417
3a1u	B	IPR027417
3a1v	A	IPR027417
3a1v	B	IPR027417
3a1w	A	IPR027417
3a36	A	IPR027417
3a36	B	IPR027417
3a37	A	IPR027417
3a37	B	IPR027417
3a4l	A	IPR027417
3a4l	B	IPR027417
3a4m	A	IPR027417
3a4m	B	IPR027417
3a4n	A	IPR027417
3a4n	B	IPR027417
3a58	B	IPR027417
3a58	D	IPR027417
3a58	F	IPR027417
3a5c	A	IPR027417
3a5c	B	IPR027417
3a5c	C	IPR027417
3a5c	D	IPR027417
3a5c	E	IPR027417
3a5c	F	IPR027417
3a5c	I	IPR027417
3a5c	J	IPR027417
3a5c	K	IPR027417
3a5c	L	IPR027417
3a5c	M	IPR027417
3a5c	N	IPR027417
3a5d	A	IPR027417
3a5d	B	IPR027417
3a5d	C	IPR027417
3a5d	D	IPR027417
3a5d	E	IPR027417
3a5d	F	IPR027417
3a5d	I	IPR027417
3a5d	J	IPR027417
3a5d	K	IPR027417
3a5d	L	IPR027417
3a5d	M	IPR027417
3a5d	N	IPR027417
3a6p	C	IPR027417
3a6p	H	IPR027417
3a8t	A	IPR027417
3ab3	A	IPR027417
3ab3	C	IPR027417
3adb	A	IPR027417
3adb	B	IPR027417
3adc	A	IPR027417
3adc	B	IPR027417
3add	A	IPR027417
3add	B	IPR027417
3adk	A	IPR027417
3aez	A	IPR027417
3af0	A	IPR027417
3af1	A	IPR027417
3af2	A	IPR027417
3af3	A	IPR027417
3af4	A	IPR027417
3agp	A	IPR027417
3agq	A	IPR027417
3ah8	A	IPR027417
3aji	B	IPR027417
3aji	D	IPR027417
3akc	A	IPR027417
3akd	A	IPR027417
3ake	A	IPR027417
3aky	A	IPR027417
3am1	A	IPR027417
3ap1	A	IPR027417
3ap1	B	IPR027417
3ap2	A	IPR027417
3ap2	B	IPR027417
3ap3	A	IPR027417
3ap3	B	IPR027417
3ap3	C	IPR027417
3ap3	D	IPR027417
3aq4	A	IPR027417
3aq4	B	IPR027417
3asy	A	IPR027417
3asy	B	IPR027417
3asz	A	IPR027417
3asz	B	IPR027417
3aux	A	IPR027417
3auy	A	IPR027417
3auy	B	IPR027417
3av0	B	IPR027417
3avo	A	IPR027417
3avp	A	IPR027417
3avq	A	IPR027417
3avt	A	IPR027417
3avu	A	IPR027417
3avv	A	IPR027417
3avw	A	IPR027417
3avx	A	IPR027417
3avy	A	IPR027417
3b13	B	IPR027417
3b13	D	IPR027417
3b1v	A	IPR027417
3b1w	A	IPR027417
3b1w	B	IPR027417
3b1w	C	IPR027417
3b1w	D	IPR027417
3b1x	A	IPR027417
3b1x	B	IPR027417
3b1y	A	IPR027417
3b1z	A	IPR027417
3b2e	A	IPR027417
3b2e	B	IPR027417
3b2e	C	IPR027417
3b2e	D	IPR027417
3b2q	A	IPR027417
3b2q	B	IPR027417
3b5j	A	IPR027417
3b5w	A	IPR027417
3b5w	B	IPR027417
3b5w	C	IPR027417
3b5w	D	IPR027417
3b5w	E	IPR027417
3b5w	F	IPR027417
3b5w	G	IPR027417
3b5w	H	IPR027417
3b5x	A	IPR027417
3b5x	B	IPR027417
3b5y	A	IPR027417
3b5y	B	IPR027417
3b5y	C	IPR027417
3b5y	D	IPR027417
3b5z	A	IPR027417
3b5z	B	IPR027417
3b5z	C	IPR027417
3b5z	D	IPR027417
3b60	A	IPR027417
